U:0,U:1,U:2
0.0070636,-2.62E-05,7.88E-26
0.013342,-1.72E-05,0
0.016585,5.23E-05,0
0.018778,0.00015187,0
0.020364,0.00027203,0
0.021543,0.00040172,0
0.022442,0.00053436,0
0.023142,0.00066671,0
0.023702,0.0007973,0
0.024161,0.00092539,6.37E-25
0.024546,0.0010506,-6.93E-25
0.024874,0.0011725,0
0.025161,0.0012907,0
0.025415,0.0014046,1.75E-24
0.025644,0.0015134,0
0.025853,0.0016162,0
0.026047,0.001712,0
0.026229,0.0017998,0
0.026401,0.0018786,0
0.026568,0.0019474,0
0.02673,0.0020054,0
0.02689,0.002052,0
0.02705,0.0020868,0
0.027211,0.0021095,0
0.027375,0.0021203,0
0.027544,0.0021194,0
0.027718,0.0021073,-1.48E-23
0.027899,0.0020848,0
0.028087,0.0020527,-1.61E-23
0.028282,0.0020121,-3.35E-23
0.028485,0.0019642,0
0.028695,0.0019101,0
0.028911,0.001851,-3.77E-23
0.029133,0.0017882,0
0.029359,0.0017227,0
0.029586,0.0016554,0
0.029813,0.0015875,0
0.030036,0.0015194,0
0.030253,0.0014518,-4.77E-23
0.030461,0.0013852,0
0.030656,0.0013197,-5.16E-23
0.030837,0.0012557,0
0.030999,0.0011931,-5.59E-23
0.031142,0.0011321,-5.83E-23
0.031264,0.0010726,6.08E-23
0.031362,0.0010147,6.35E-23
0.031436,0.00095827,-6.64E-23
0.031486,0.00090339,0
0.031509,0.00085003,0
0.031507,0.0007982,0
0.031478,0.00074787,0
0.031421,0.00069904,0
0.031336,0.00065166,0
0.03122,0.00060571,0
0.031073,0.00056113,0
0.030893,0.00051785,0
0.030677,0.00047583,0
0.030426,0.00043501,-3.34E-23
0.030138,0.00039538,0
0.029812,0.00035696,0
0.029448,0.0003198,4.18E-23
0.029046,0.00028399,0
0.028606,0.00024967,0
0.028126,0.00021699,0
0.027604,0.00018613,0
0.027038,0.00015729,0
0.026421,0.00013066,0
0.025747,0.00010641,3.47E-23
0.025005,8.47E-05,0
0.024184,6.56E-05,0
0.023268,4.93E-05,0
0.022237,3.57E-05,2.43E-23
0.021066,2.47E-05,-2.69E-23
0.019721,1.61E-05,0
0.018153,9.75E-06,1.71E-23
0.016277,5.29E-06,0
0.013931,2.40E-06,2.52E-23
0.010695,6.69E-07,0
0.004987,1.03E-07,0
0.0076639,-0.00023479,-7.96E-26
0.013659,-0.00040986,-3.19E-25
0.016538,-0.00047095,0
0.01846,-0.00047644,0
0.019882,-0.00044193,0
0.020979,-0.00037934,4.81E-25
0.021846,-0.00029664,3.63E-22
0.022544,-0.00019932,7.72E-23
0.023118,-9.12E-05,-3.41E-22
0.023598,2.47E-05,9.78E-25
0.024009,0.00014639,2.52E-24
0.024368,0.00027202,0
0.024686,0.00040009,2.59E-22
0.024974,0.00052913,-2.44E-22
0.025238,0.00065772,0
0.025484,0.00078438,0
0.025716,0.00090761,-3.19E-22
0.025936,0.0010259,3.17E-22
0.026148,0.0011378,3.41E-22
0.026353,0.0012418,-3.53E-22
0.026552,0.0013366,0
0.026748,0.0014211,0
0.026942,0.0014944,2.57E-23
0.027134,0.0015557,-4.38E-22
0.027327,0.0016047,4.59E-22
0.027521,0.0016412,2.89E-23
0.027718,0.0016654,1.51E-23
0.027918,0.0016777,-4.79E-22
0.028122,0.0016787,4.91E-22
0.028331,0.0016693,-5.14E-22
0.028544,0.0016505,4.97E-23
0.028763,0.0016234,5.69E-22
0.028986,0.0015892,-5.72E-22
0.029212,0.0015492,1.25E-21
0.02944,0.0015044,-7.19E-22
0.029669,0.0014561,0
0.029896,0.0014051,0
0.030119,0.0013524,-8.22E-22
0.030336,0.0012987,1.55E-21
0.030543,0.0012445,-7.77E-22
0.030737,0.0011904,5.13E-23
0.030916,0.0011365,-1.05E-22
0.031078,0.0010831,5.00E-22
0.03122,0.0010305,-2.85E-22
0.031341,0.00097864,-5.42E-22
0.031439,0.00092766,-6.79E-23
0.031513,0.00087764,5.87E-22
0.031562,0.00082862,-6.88E-22
0.031586,0.00078067,1.16E-21
0.031584,0.00073382,3.98E-24
0.031556,0.00068812,3.80E-24
0.0315,0.00064357,-7.70E-22
0.031415,0.00060019,3.67E-22
0.0313,0.00055795,1.65E-24
0.031155,0.00051683,-8.43E-22
0.030976,0.0004768,4.53E-22
0.030762,0.00043782,-3.68E-22
0.030513,0.00039986,4.95E-22
0.030227,0.00036292,5.00E-22
0.029904,0.00032704,-6.14E-22
0.029542,0.00029229,-4.16E-23
0.029142,0.00025877,-8.87E-23
0.028704,0.00022663,0
0.028225,0.00019605,0
0.027703,0.0001672,-4.43E-22
0.027136,0.0001403,9.52E-22
0.026518,0.00011553,-5.76E-22
0.02584,9.31E-05,-3.11E-22
0.025094,7.31E-05,-3.74E-23
