"coords:0","coords:1","coords:2"
0.032171,1.003,0.05
0.032163,1.0092,0.05
0.032154,1.016,0.05
0.032145,1.0233,0.05
0.032134,1.0313,0.05
0.032123,1.0398,0.05
0.032111,1.0491,0.05
0.032098,1.0591,0.05
0.032084,1.0698,0.05
0.032069,1.0815,0.05
0.032053,1.094,0.05
0.032035,1.1074,0.05
0.032017,1.1219,0.05
0.031996,1.1374,0.05
0.031975,1.154,0.05
0.031952,1.1718,0.05
0.031927,1.1908,0.05
0.0319,1.2111,0.05
0.031872,1.2327,0.05
0.031842,1.2557,0.05
0.03181,1.2801,0.05
0.031777,1.3059,0.05
0.031741,1.3333,0.05
0.031704,1.3621,0.05
0.031664,1.3925,0.05
0.031622,1.4244,0.05
0.031579,1.4578,0.05
0.031534,1.4927,0.05
0.031486,1.529,0.05
0.031437,1.5667,0.05
0.031386,1.6058,0.05
0.031334,1.6461,0.05
0.03128,1.6876,0.05
0.031224,1.7302,0.05
0.031168,1.7737,0.05
0.03111,1.8179,0.05
0.031051,1.8629,0.05
0.030992,1.9083,0.05
0.030933,1.9541,0.05
0.030873,2,0.05
0.030813,2.0459,0.05
0.030753,2.0917,0.05
0.030694,2.1371,0.05
0.030636,2.1821,0.05
0.030578,2.2263,0.05
0.030521,2.2698,0.05
0.030466,2.3124,0.05
0.030412,2.3539,0.05
0.030359,2.3942,0.05
0.030309,2.4333,0.05
0.030259,2.471,0.05
0.030212,2.5073,0.05
0.030167,2.5422,0.05
0.030123,2.5756,0.05
0.030082,2.6075,0.05
0.030042,2.6379,0.05
0.030004,2.6667,0.05
0.029969,2.6941,0.05
0.029935,2.7199,0.05
0.029903,2.7443,0.05
0.029873,2.7673,0.05
0.029845,2.7889,0.05
0.029819,2.8092,0.05
0.029794,2.8282,0.05
0.029771,2.846,0.05
0.029749,2.8626,0.05
0.029729,2.8781,0.05
0.02971,2.8926,0.05
0.029693,2.906,0.05
0.029676,2.9185,0.05
0.029661,2.9302,0.05
0.029647,2.9409,0.05
0.029634,2.9509,0.05
0.029622,2.9602,0.05
0.029611,2.9687,0.05
0.029601,2.9767,0.05
0.029591,2.984,0.05
0.029582,2.9908,0.05
0.029574,2.997,0.05
0.096484,1.002,0.05
0.09646,1.0082,0.05
0.096434,1.015,0.05
0.096405,1.0223,0.05
0.096374,1.0303,0.05
0.096341,1.0388,0.05
0.096305,1.0481,0.05
0.096266,1.0581,0.05
0.096224,1.0689,0.05
0.096179,1.0805,0.05
0.09613,1.093,0.05
0.096078,1.1064,0.05
0.096022,1.1209,0.05
0.095962,1.1364,0.05
0.095897,1.153,0.05
0.095828,1.1708,0.05
0.095754,1.1898,0.05
0.095675,1.2101,0.05
0.095591,1.2318,0.05
0.095501,1.2548,0.05
0.095406,1.2792,0.05
0.095305,1.3051,0.05
0.095199,1.3324,0.05
0.095087,1.3613,0.05
0.094968,1.3917,0.05
0.094844,1.4236,0.05
0.094714,1.457,0.05
0.094578,1.4919,0.05
0.094437,1.5283,0.05
0.09429,1.566,0.05
0.094138,1.6051,0.05
0.093981,1.6455,0.05
0.09382,1.687,0.05
0.093654,1.7295,0.05
0.093485,1.773,0.05
0.093312,1.8173,0.05
0.093137,1.8623,0.05
0.092961,1.9078,0.05
0.092782,1.9535,0.05
0.092604,1.9995,0.05
0.092425,2.0454,0.05
0.092247,2.0912,0.05
0.09207,2.1367,0.05
0.091895,2.1816,0.05
0.091723,2.2259,0.05
0.091553,2.2694,0.05
0.091388,2.312,0.05
0.091226,2.3535,0.05
0.091069,2.3939,0.05
0.090917,2.433,0.05
0.09077,2.4707,0.05
0.090629,2.5071,0.05
0.090493,2.542,0.05
0.090363,2.5754,0.05
0.090239,2.6073,0.05
0.090121,2.6377,0.05
0.090008,2.6666,0.05
0.089902,2.6939,0.05
0.089801,2.7198,0.05
0.089706,2.7442,0.05
0.089617,2.7672,0.05
0.089533,2.7888,0.05
0.089454,2.8091,0.05
0.08938,2.8282,0.05
0.089311,2.846,0.05
0.089246,2.8626,0.05
0.089186,2.8781,0.05
0.089129,2.8925,0.05
0.089077,2.906,0.05
0.089028,2.9185,0.05
0.088983,2.9301,0.05
0.088941,2.9409,0.05
0.088902,2.9509,0.05
0.088866,2.9601,0.05
0.088833,2.9687,0.05
0.088802,2.9766,0.05
0.088774,2.984,0.05
0.088747,2.9907,0.05
0.088723,2.997,0.05
0.16037,0.99593,0.05
0.16033,1.0022,0.05
0.16028,1.009,0.05
0.16024,1.0163,0.05
0.16019,1.0243,0.05
0.16013,1.0329,0.05
0.16008,1.0422,0.05
0.16001,1.0522,0.05
0.15995,1.063,0.05
0.15987,1.0747,0.05
0.1598,1.0872,0.05
0.15971,1.1007,0.05
0.15962,1.1152,0.05
0.15952,1.1308,0.05
0.15942,1.1474,0.05
0.15931,1.1653,0.05
0.15919,1.1844,0.05
0.15906,1.2047,0.05
0.15893,1.2264,0.05
0.15878,1.2495,0.05
0.15863,1.274,0.05
0.15847,1.2999,0.05
0.1583,1.3274,0.05
0.15812,1.3563,0.05
0.15793,1.3868,0.05
0.15773,1.4188,0.05
0.15752,1.4523,0.05
0.1573,1.4873,0.05
0.15707,1.5238,0.05
0.15683,1.5617,0.05
0.15659,1.6009,0.05
0.15634,1.6414,0.05
0.15608,1.683,0.05
0.15581,1.7257,0.05
0.15554,1.7693,0.05
0.15526,1.8138,0.05
0.15498,1.8589,0.05
0.15469,1.9044,0.05
0.15441,1.9504,0.05
0.15412,1.9965,0.05
0.15383,2.0426,0.05
0.15354,2.0885,0.05
0.15326,2.1341,0.05
0.15298,2.1792,0.05
0.1527,2.2236,0.05
0.15243,2.2672,0.05
0.15216,2.3099,0.05
0.1519,2.3516,0.05
0.15165,2.392,0.05
0.1514,2.4313,0.05
0.15117,2.4691,0.05
0.15094,2.5056,0.05
0.15072,2.5406,0.05
0.15051,2.5741,0.05
0.15031,2.6061,0.05
0.15012,2.6366,0.05
0.14994,2.6655,0.05
0.14977,2.693,0.05
0.14961,2.7189,0.05
0.14945,2.7434,0.05
0.14931,2.7665,0.05
0.14917,2.7882,0.05
0.14905,2.8086,0.05
0.14893,2.8276,0.05
0.14882,2.8455,0.05
0.14871,2.8622,0.05
0.14862,2.8777,0.05
0.14853,2.8922,0.05
0.14844,2.9057,0.05
0.14836,2.9183,0.05
0.14829,2.9299,0.05
0.14822,2.9407,0.05
0.14816,2.9507,0.05
0.1481,2.96,0.05
0.14805,2.9686,0.05
0.148,2.9766,0.05
0.14795,2.9839,0.05
0.14791,2.9907,0.05
0.14787,2.997,0.05
0.22238,0.98017,0.05
0.22233,0.98649,0.05
0.22228,0.99334,0.05
0.22222,1.0007,0.05
0.22216,1.0088,0.05
0.2221,1.0174,0.05
0.22202,1.0268,0.05
0.22195,1.0369,0.05
0.22186,1.0478,0.05
0.22177,1.0595,0.05
0.22168,1.0722,0.05
0.22157,1.0858,0.05
0.22146,1.1004,0.05
0.22134,1.1161,0.05
0.22122,1.1329,0.05
0.22108,1.1509,0.05
0.22093,1.1701,0.05
0.22078,1.1906,0.05
0.22061,1.2125,0.05
0.22043,1.2357,0.05
0.22024,1.2604,0.05
0.22005,1.2866,0.05
0.21983,1.3142,0.05
0.21961,1.3434,0.05
0.21938,1.3741,0.05
0.21913,1.4064,0.05
0.21888,1.4402,0.05
0.21861,1.4754,0.05
0.21833,1.5122,0.05
0.21804,1.5504,0.05
0.21773,1.5899,0.05
0.21742,1.6307,0.05
0.2171,1.6726,0.05
0.21678,1.7157,0.05
0.21644,1.7596,0.05
0.2161,1.8044,0.05
0.21575,1.8499,0.05
0.2154,1.8958,0.05
0.21505,1.9421,0.05
0.2147,1.9886,0.05
0.21434,2.035,0.05
0.21399,2.0813,0.05
0.21364,2.1273,0.05
0.21329,2.1727,0.05
0.21295,2.2175,0.05
0.21262,2.2615,0.05
0.21229,2.3045,0.05
0.21197,2.3465,0.05
0.21166,2.3873,0.05
0.21136,2.4268,0.05
0.21107,2.465,0.05
0.21079,2.5017,0.05
0.21052,2.537,0.05
0.21026,2.5708,0.05
0.21002,2.603,0.05
0.20978,2.6337,0.05
0.20956,2.6629,0.05
0.20935,2.6906,0.05
0.20915,2.7167,0.05
0.20896,2.7414,0.05
0.20879,2.7647,0.05
0.20862,2.7865,0.05
0.20846,2.8071,0.05
0.20832,2.8263,0.05
0.20818,2.8443,0.05
0.20805,2.8611,0.05
0.20793,2.8768,0.05
0.20782,2.8914,0.05
0.20772,2.905,0.05
0.20762,2.9176,0.05
0.20753,2.9294,0.05
0.20745,2.9402,0.05
0.20737,2.9504,0.05
0.2073,2.9597,0.05
0.20723,2.9684,0.05
0.20717,2.9764,0.05
0.20712,2.9838,0.05
0.20706,2.9906,0.05
0.20702,2.997,0.05
0.28035,0.95318,0.05
0.28031,0.95959,0.05
0.28026,0.96652,0.05
0.28021,0.97403,0.05
0.28015,0.98215,0.05
0.28009,0.99093,0.05
0.28002,1.0004,0.05
0.27995,1.0107,0.05
0.27987,1.0217,0.05
0.27979,1.0336,0.05
0.2797,1.0464,0.05
0.27961,1.0602,0.05
0.2795,1.075,0.05
0.27939,1.0909,0.05
0.27928,1.1079,0.05
0.27915,1.1261,0.05
0.27901,1.1456,0.05
0.27887,1.1664,0.05
0.27872,1.1886,0.05
0.27855,1.2121,0.05
0.27838,1.2372,0.05
0.27819,1.2637,0.05
0.278,1.2917,0.05
0.27779,1.3213,0.05
0.27758,1.3524,0.05
0.27735,1.3851,0.05
0.27711,1.4193,0.05
0.27686,1.4551,0.05
0.27661,1.4923,0.05
0.27634,1.531,0.05
0.27606,1.571,0.05
0.27577,1.6124,0.05
0.27548,1.6549,0.05
0.27517,1.6985,0.05
0.27486,1.7431,0.05
0.27455,1.7885,0.05
0.27423,1.8345,0.05
0.27391,1.8811,0.05
0.27358,1.928,0.05
0.27325,1.9751,0.05
0.27293,2.0221,0.05
0.2726,2.069,0.05
0.27228,2.1156,0.05
0.27196,2.1616,0.05
0.27164,2.207,0.05
0.27133,2.2516,0.05
0.27103,2.2952,0.05
0.27073,2.3377,0.05
0.27045,2.3791,0.05
0.27017,2.4191,0.05
0.2699,2.4578,0.05
0.26964,2.495,0.05
0.26939,2.5308,0.05
0.26915,2.565,0.05
0.26893,2.5977,0.05
0.26871,2.6288,0.05
0.26851,2.6584,0.05
0.26831,2.6864,0.05
0.26813,2.7129,0.05
0.26795,2.738,0.05
0.26779,2.7615,0.05
0.26764,2.7837,0.05
0.26749,2.8045,0.05
0.26736,2.824,0.05
0.26723,2.8422,0.05
0.26711,2.8592,0.05
0.267,2.8751,0.05
0.2669,2.8899,0.05
0.2668,2.9037,0.05
0.26671,2.9165,0.05
0.26663,2.9284,0.05
0.26655,2.9395,0.05
0.26648,2.9497,0.05
0.26642,2.9592,0.05
0.26636,2.968,0.05
0.2663,2.9761,0.05
0.26625,2.9836,0.05
0.2662,2.9905,0.05
0.26615,2.9969,0.05
0.33344,0.91718,0.05
0.33341,0.9237,0.05
0.33339,0.93076,0.05
0.33336,0.9384,0.05
0.33332,0.94666,0.05
0.33329,0.9556,0.05
0.33325,0.96525,0.05
0.33321,0.97567,0.05
0.33317,0.9869,0.05
0.33312,0.99901,0.05
0.33307,1.0121,0.05
0.33301,1.0261,0.05
0.33295,1.0411,0.05
0.33289,1.0573,0.05
0.33282,1.0746,0.05
0.33275,1.0932,0.05
0.33267,1.113,0.05
0.33259,1.1342,0.05
0.3325,1.1567,0.05
0.33241,1.1807,0.05
0.33231,1.2062,0.05
0.3322,1.2331,0.05
0.33209,1.2617,0.05
0.33197,1.2917,0.05
0.33185,1.3234,0.05
0.33172,1.3567,0.05
0.33158,1.3915,0.05
0.33144,1.4279,0.05
0.33129,1.4658,0.05
0.33113,1.5051,0.05
0.33097,1.5459,0.05
0.33081,1.588,0.05
0.33064,1.6312,0.05
0.33047,1.6756,0.05
0.33029,1.721,0.05
0.33011,1.7671,0.05
0.32992,1.814,0.05
0.32974,1.8614,0.05
0.32955,1.9091,0.05
0.32936,1.957,0.05
0.32918,2.0049,0.05
