grad(U):0,grad(U):1,grad(U):2,grad(U):3,grad(U):4,grad(U):5,grad(U):6,grad(U):7,grad(U):8
0.0032475,-0.0021037,-6.19E-25,1.6797,-0.0036479,6.83E-24,-6.31E-22,1.12E-23,0
-0.006082,-0.0048147,-2.48E-24,0.74189,0.0058462,-6.31E-24,0,0,0
-0.012019,-0.0070429,0,0.38922,0.011916,0,0,0,0
-0.014759,-0.0090391,0,0.24976,0.014366,0,0,0,0
-0.01538,-0.010676,0,0.16893,0.015138,0,0,0,0
-0.014877,-0.011961,3.74E-24,0.11738,0.014721,9.75E-27,0,0,0
-0.013889,-0.012946,2.82E-21,0.083592,0.013775,7.36E-24,0,0,0
-0.012752,-0.01368,6.01E-22,0.061052,0.012668,1.57E-24,0,0,0
-0.011619,-0.014203,-2.66E-21,0.04574,0.011559,2.05E-23,0,0,0
-0.010548,-0.014545,7.62E-24,0.035122,0.010506,-2.57E-23,-4.09E-21,-8.14E-23,-1.39E-43
-0.0095508,-0.01473,1.97E-23,0.027592,0.0095241,-2.74E-23,3.87E-21,9.53E-23,1.46E-43
-0.0086225,-0.014777,-5.09E-24,0.022141,0.0086076,2.58E-23,0,0,0
-0.0077514,-0.014701,2.03E-21,0.01811,0.0077465,6.18E-23,0,0,0
-0.0069256,-0.014515,-1.90E-21,0.015075,0.006929,-1.20E-24,-6.50E-21,-2.49E-22,3.13E-41
-0.0061366,-0.014229,0,0.012758,0.0061461,-5.28E-23,0,0,0
-0.0053788,-0.013855,0,0.010966,0.005393,0,0,0,0
-0.0046499,-0.013405,-2.53E-21,0.0095664,0.0046674,-6.51E-24,0,0,0
-0.0039506,-0.012889,2.49E-21,0.0084671,0.0039698,6.48E-24,0,0,0
-0.0032818,-0.01232,2.68E-21,0.0076086,0.003303,6.97E-24,0,0,0
-0.002648,-0.01171,-2.81E-21,0.0069351,0.0026707,-7.21E-24,0,0,0
-0.0020533,-0.011069,4.22E-23,0.0064123,0.0020763,0,0,0,0
-0.0015007,-0.010409,0,0.0060143,0.001524,0,0,0,0
-0.00099506,-0.0097414,2.03E-22,0.0057151,0.001018,5.28E-25,0,0,0
-0.00053879,-0.0090756,-3.45E-21,0.005499,0.0005603,-9.00E-24,0,0,0
-0.00013119,-0.0084203,3.63E-21,0.0053494,0.00015237,9.45E-24,0,0,0
0.00022526,-0.0077829,3.42E-22,0.0052528,-0.00020505,-2.21E-22,0,0,0
0.000532,-0.0071699,1.19E-22,0.0051966,-0.00051268,-9.02E-24,1.36E-20,9.26E-22,7.43E-44
0.00079047,-0.0065861,-3.67E-21,0.0051732,-0.00077243,-1.91E-23,0,0,0
0.0010029,-0.0060351,4.04E-21,0.0051726,-0.00098653,-4.42E-22,1.28E-20,8.47E-22,1.08E-40
0.0011731,-0.0055195,-4.09E-21,0.0051838,-0.0011581,1.88E-22,2.48E-20,1.61E-21,-2.40E-40
0.0013048,-0.0050408,3.96E-22,0.0051998,-0.0012906,4.30E-22,0,0,0
0.0014012,-0.0045993,4.54E-21,0.0052137,-0.0013884,-4.43E-22,0,0,0
0.0014676,-0.0041948,-4.57E-21,0.005218,-0.0014558,-2.29E-23,2.33E-20,1.38E-21,-2.45E-40
0.001507,-0.003826,9.66E-21,0.0052036,-0.001497,4.70E-22,0,0,0
0.0015266,-0.0034918,-5.77E-21,0.0051628,-0.0015168,-1.50E-23,0,0,0
0.0015286,-0.0031896,0,0.0050913,-0.0015196,0,0,0,0
0.0015178,-0.0029174,0,0.0049823,-0.0015097,0,0,0,0
0.0014981,-0.0026725,-7.02E-21,0.0048304,-0.001491,-5.38E-22,0,0,0
0.0014735,-0.0024524,1.26E-20,0.0046347,-0.001467,3.11E-23,2.26E-20,1.03E-21,5.62E-40
0.0014464,-0.0022544,-6.29E-21,0.0043919,-0.0014408,-5.84E-23,0,0,0
0.00142,-0.0020759,-1.65E-23,0.0041009,-0.0014149,3.52E-24,2.30E-20,9.40E-22,-1.26E-43
0.0013959,-0.0019148,-8.56E-22,0.0037635,-0.0013909,-5.31E-23,0,0,0
0.0013741,-0.0017691,4.07E-21,0.0033839,-0.00137,-6.30E-22,2.37E-20,8.68E-22,1.69E-40
0.0013564,-0.0016366,-2.81E-21,0.0029629,-0.0013529,1.31E-21,2.41E-20,8.37E-22,-1.33E-40
0.0013434,-0.0015159,-4.43E-21,0.0025019,-0.0013399,1.36E-21,-2.47E-20,-8.09E-22,1.90E-40
0.0013336,-0.0014055,-5.56E-22,0.0020053,-0.001331,-1.50E-21,-2.53E-20,-7.83E-22,1.77E-42
0.0013286,-0.0013044,4.26E-21,0.001469,-0.0013259,-7.14E-22,2.60E-20,7.59E-22,2.15E-40
0.0013268,-0.0012113,-5.66E-21,0.00089217,-0.0013244,7.86E-22,0,0,0
0.0013283,-0.0011254,9.52E-21,0.0002687,-0.0013263,2.48E-23,0,0,0
0.001333,-0.0010459,3.29E-23,-0.00041314,-0.0013315,8.56E-26,0,0,0
0.0013418,-0.00097224,3.14E-23,-0.0011639,-0.0013401,8.17E-26,0,0,0
0.0013538,-0.00090373,-6.38E-21,-0.0020052,-0.0013521,-1.66E-23,0,0,0
0.0013699,-0.00083989,3.04E-21,-0.0029556,-0.001368,7.93E-24,0,0,0
0.0013893,-0.0007803,4.38E-22,-0.0040367,-0.001388,3.57E-26,0,0,0
0.0014137,-0.00072458,-7.01E-21,-0.0052761,-0.0014126,-1.82E-23,0,0,0
0.0014422,-0.00067237,3.77E-21,-0.0066974,-0.0014417,9.82E-24,0,0,0
0.0014765,-0.00062338,-3.07E-21,-0.0083202,-0.0014754,-6.19E-22,0,0,0
0.0015132,-0.00057729,4.41E-21,-0.010162,-0.0015132,4.61E-23,1.01E-20,1.39E-22,7.66E-41
0.001555,-0.00053383,4.48E-21,-0.012245,-0.0015539,6.58E-22,0,0,0
0.001596,-0.00049275,-5.13E-21,-0.014587,-0.0015959,8.96E-22,0,0,0
0.0016369,-0.00045378,-3.48E-22,-0.01721,-0.001637,-5.91E-23,-1.17E-20,-1.22E-22,-5.32E-44
0.0016745,-0.00041665,-7.43E-22,-0.020152,-0.0016747,-9.70E-22,0,0,0
0.0017061,-0.0003812,-4.14E-22,-0.023479,-0.0017059,0,0,0,0
0.0017277,-0.00034719,0,-0.027283,-0.0017274,0,0,0,0
0.0017357,-0.00031447,-3.72E-21,-0.031702,-0.0017357,-9.68E-24,0,0,0
0.0017269,-0.00028294,8.00E-21,-0.036931,-0.0017273,2.08E-23,0,0,0
0.0016978,-0.00025248,-4.85E-21,-0.043219,-0.0016988,1.19E-21,0,0,0
0.0016467,-0.00022308,-2.62E-21,-0.050903,-0.0016473,-9.66E-23,-8.25E-21,-3.19E-23,4.42E-41
0.0015694,-0.00019471,-3.15E-22,-0.060413,-0.0015701,-1.29E-21,0,0,0
0.0014658,-0.00016744,5.13E-21,-0.072302,-0.0014662,1.34E-23,0,0,0
0.001335,-0.0001414,-3.70E-22,-0.087316,-0.0013363,1.13E-21,0,0,0
0.0011813,-0.00011674,-2.05E-21,-0.10647,-0.0011834,-1.44E-21,-4.79E-21,-6.94E-24,2.09E-41
0.0010115,-9.36E-05,-1.58E-21,-0.13127,-0.0010132,-1.11E-21,4.90E-21,5.10E-24,-2.48E-41
0.00083127,-7.22E-05,0,-0.1642,-0.00083332,2.45E-21,0,0,0
0.00065092,-5.25E-05,-1.01E-21,-0.20988,-0.00065221,-8.35E-23,-2.47E-21,-1.13E-24,6.92E-42
0.00047717,-3.47E-05,2.70E-21,-0.27849,-0.00047843,6.49E-22,0,0,0
0.0003185,-1.93E-05,-1.06E-21,-0.39923,-0.00032544,-1.45E-22,-2.21E-21,-3.15E-25,7.95E-42
0.00018085,-7.26E-06,-1.23E-21,-0.69569,-0.00017351,-1.86E-21,0,0,0
5.27E-05,2.56E-06,2.19E-22,-1.2877,-6.24E-05,0,0,0,0
0.052247,-0.0087948,1.16E-19,1.7563,-0.053154,5.66E-22,6.31E-22,-1.12E-23,0
0.016962,-0.013223,-7.75E-21,0.69205,-0.01857,-3.57E-23,-2.09E-21,1.62E-22,7.89E-41
0.0035521,-0.015112,-2.25E-20,0.34372,-0.0049533,-9.26E-23,0,0,0
-0.00267,-0.015977,5.21E-21,0.22079,0.0017314,2.69E-23,0,0,0
-0.00634,-0.016381,2.81E-22,0.15369,0.0057573,2.95E-23,0,0,0
-0.0084794,-0.016531,5.86E-22,0.11079,0.0080474,1.96E-20,-4.75E-21,2.47E-22,2.19E-43
-0.0096165,-0.016496,1.15E-20,0.081704,0.0092662,5.33E-21,-2.45E-18,2.79E-20,-2.51E-38
-0.010106,-0.016317,-1.09E-20,0.061497,0.0098148,-3.37E-20,-7.38E-20,-1.01E-20,3.58E-38
-0.010183,-0.016031,-1.31E-22,0.047246,0.0099383,-4.68E-21,2.17E-18,-1.42E-20,-1.18E-38
-0.0099999,-0.015666,4.68E-22,0.037072,0.0097919,1.48E-20,-3.85E-21,2.69E-22,-5.37E-43
-0.009651,-0.015246,-1.05E-23,0.029705,0.009473,-3.21E-23,-1.14E-20,3.10E-23,-2.42E-43
-0.0091948,-0.014788,2.64E-22,0.024295,0.0090415,8.86E-21,0,0,0
-0.0086667,-0.014303,-1.95E-20,0.020257,0.008534,-7.36E-21,-8.78E-19,-1.64E-20,-5.71E-40
-0.0080869,-0.013801,1.77E-20,0.017194,0.0079733,-8.78E-21,8.26E-19,1.55E-20,5.01E-40
-0.0074724,-0.013287,-2.07E-20,0.014831,0.0073746,7.24E-21,0,0,0
-0.0068332,-0.012764,1.96E-20,0.012975,0.0067492,-8.29E-21,0,0,0
-0.0061787,-0.012234,1.33E-22,0.011495,0.0061066,7.29E-21,6.98E-19,2.61E-20,-3.03E-40
-0.0055171,-0.011697,4.54E-22,0.010298,0.0054553,1.62E-20,-6.76E-19,-2.50E-20,1.59E-40
-0.0048558,-0.011153,-3.35E-22,0.0093236,0.0048039,-1.45E-20,-6.07E-19,-2.78E-20,1.71E-41
-0.0042058,-0.010605,2.48E-20,0.0085208,0.0041617,-7.73E-21,6.08E-19,2.73E-20,1.10E-39
-0.0035734,-0.010052,-2.38E-20,0.0078571,0.0035363,7.10E-21,0,0,0
-0.0029673,-0.0094963,1.26E-23,0.0073109,0.0029357,4.70E-22,0,0,0
-0.0023936,-0.0089408,-1.96E-22,0.0068621,0.0023671,-7.56E-21,-3.19E-20,-1.45E-21,-1.56E-41
-0.001859,-0.0083886,1.93E-22,0.006499,0.0018364,6.73E-21,4.92E-19,2.85E-20,-1.01E-41
-0.0013679,-0.0078434,-3.38E-23,0.00621,0.0013485,8.02E-21,-4.97E-19,-2.86E-20,-2.21E-40
-0.00092323,-0.0073087,5.37E-23,0.0059809,0.00090627,-6.95E-21,-2.82E-20,-1.45E-21,-2.98E-41
-0.0005269,-0.006789,-1.57E-20,0.0058042,0.00051168,-7.36E-21,-1.36E-20,-9.26E-22,-7.43E-44
-0.00017853,-0.0062875,3.10E-20,0.0056708,0.0001655,6.43E-21,3.96E-19,2.39E-20,-1.65E-39
