grad(k):0,grad(k):1,grad(k):2
-8.54E-06,0.0032352,-5.61E-25
-3.90E-05,0.0026725,0
-3.48E-05,0.00082194,0
-3.00E-05,0.00044128,0
-2.83E-05,0.00030978,0
-2.90E-05,0.00025144,0
-3.08E-05,0.00021686,0
-3.28E-05,0.00018995,0
-3.45E-05,0.00016575,0
-3.57E-05,0.00014298,-9.70E-24
-3.64E-05,0.00012148,9.28E-24
-3.65E-05,0.00010133,0
-3.62E-05,8.26E-05,0
-3.54E-05,6.54E-05,-1.61E-23
-3.43E-05,4.98E-05,0
-3.29E-05,3.56E-05,0
-3.13E-05,2.28E-05,0
-2.95E-05,1.14E-05,0
-2.75E-05,1.32E-06,0
-2.55E-05,-7.56E-06,0
-2.34E-05,-1.53E-05,0
-2.13E-05,-2.20E-05,0
-1.92E-05,-2.78E-05,0
-1.71E-05,-3.27E-05,0
-1.51E-05,-3.68E-05,0
-1.31E-05,-4.03E-05,0
-1.12E-05,-4.31E-05,2.93E-23
-9.38E-06,-4.53E-05,0
-7.70E-06,-4.71E-05,2.56E-23
-6.15E-06,-4.84E-05,4.80E-23
-4.73E-06,-4.93E-05,0
-3.45E-06,-4.98E-05,0
-2.31E-06,-5.00E-05,3.93E-23
-1.32E-06,-4.99E-05,0
-4.76E-07,-4.95E-05,0
2.36E-07,-4.89E-05,0
8.15E-07,-4.80E-05,0
1.27E-06,-4.68E-05,0
1.62E-06,-4.55E-05,2.69E-23
1.87E-06,-4.39E-05,0
2.03E-06,-4.22E-05,2.40E-23
2.12E-06,-4.04E-05,0
2.15E-06,-3.84E-05,2.16E-23
2.14E-06,-3.63E-05,2.07E-23
2.08E-06,-3.41E-05,-1.98E-23
2.00E-06,-3.20E-05,-1.91E-23
1.89E-06,-2.98E-05,1.85E-23
1.78E-06,-2.76E-05,0
1.66E-06,-2.55E-05,0
1.53E-06,-2.34E-05,0
1.40E-06,-2.13E-05,0
1.27E-06,-1.93E-05,0
1.14E-06,-1.72E-05,0
1.01E-06,-1.51E-05,0
8.71E-07,-1.29E-05,0
7.35E-07,-1.07E-05,0
5.96E-07,-8.43E-06,0
4.56E-07,-6.10E-06,5.01E-24
3.21E-07,-3.75E-06,0
1.91E-07,-1.43E-06,0
7.36E-08,8.46E-07,-5.91E-24
-2.43E-08,3.07E-06,0
-9.56E-08,5.27E-06,0
-1.34E-07,7.52E-06,0
