grad(p):0,grad(p):1,grad(p):2
0.0002292,1.78E-05,-8.44E-26
0.00022505,6.38E-05,0
0.00021858,0.00012718,0
0.000212,0.00018938,0
0.0002049,0.00023768,0
0.00019696,0.00027659,0
0.0001883,0.00030849,0
0.00017902,0.00033409,0
0.00016904,0.00035401,0
0.00015831,0.00036889,-4.04E-24
0.00014677,0.00037919,4.52E-24
0.00013446,0.00038524,0
0.00012146,0.00038728,0
0.00010788,0.0003856,-1.16E-23
9.39E-05,0.00038049,0
7.98E-05,0.0003723,0
6.57E-05,0.00036143,0
5.20E-05,0.00034831,0
3.87E-05,0.00033341,0
2.61E-05,0.00031717,0
1.44E-05,0.00030004,0
3.61E-06,0.00028244,0
-6.09E-06,0.00026471,0
-1.47E-05,0.00024717,0
-2.23E-05,0.00023008,0
-2.87E-05,0.00021366,0
-3.42E-05,0.00019802,6.58E-23
-3.87E-05,0.00018326,0
-4.24E-05,0.00016945,6.65E-23
-4.53E-05,0.00015662,1.34E-22
-4.74E-05,0.00014473,0
-4.91E-05,0.00013376,0
-5.01E-05,0.00012366,1.36E-22
-5.08E-05,0.00011437,0
-5.10E-05,0.00010585,0
-5.10E-05,9.80E-05,0
-5.07E-05,9.09E-05,0
-5.03E-05,8.42E-05,0
-4.96E-05,7.82E-05,1.46E-22
-4.89E-05,7.26E-05,0
-4.81E-05,6.75E-05,1.51E-22
-4.73E-05,6.27E-05,0
-4.64E-05,5.84E-05,1.59E-22
-4.56E-05,5.44E-05,1.63E-22
-4.48E-05,5.08E-05,-1.68E-22
-4.40E-05,4.74E-05,-1.73E-22
-4.33E-05,4.44E-05,1.79E-22
-4.26E-05,4.16E-05,0
-4.20E-05,3.90E-05,0
-4.15E-05,3.66E-05,0
-4.10E-05,3.44E-05,0
-4.06E-05,3.23E-05,0
-4.02E-05,3.03E-05,0
-3.99E-05,2.84E-05,0
-3.97E-05,2.65E-05,0
-3.94E-05,2.47E-05,0
-3.92E-05,2.30E-05,0
-3.91E-05,2.14E-05,7.62E-23
-3.89E-05,1.98E-05,0
-3.88E-05,1.83E-05,0
-3.87E-05,1.70E-05,-9.18E-23
-3.86E-05,1.57E-05,0
-3.86E-05,1.45E-05,0
-3.85E-05,1.35E-05,0
-3.85E-05,1.24E-05,0
-3.85E-05,1.15E-05,0
-3.85E-05,1.06E-05,0
-3.85E-05,9.69E-06,-7.44E-23
-3.85E-05,8.80E-06,0
-3.86E-05,7.90E-06,0
-3.86E-05,6.90E-06,0
-3.87E-05,5.91E-06,-5.02E-23
-3.87E-05,4.92E-06,5.42E-23
-3.88E-05,3.92E-06,0
-3.89E-05,2.96E-06,-3.16E-23
-3.89E-05,2.03E-06,0
-3.90E-05,1.14E-06,-3.70E-23
-3.90E-05,5.60E-07,0
-3.91E-05,1.91E-07,0
-8.65E-05,4.50E-05,8.45E-26
-7.16E-05,0.00013951,5.54E-25
-4.76E-05,0.00022702,0
-2.24E-05,0.00028997,0
1.55E-06,0.00033137,0
2.43E-05,0.00035974,-2.19E-24
4.53E-05,0.00037827,-1.82E-21
6.41E-05,0.0003887,-4.18E-22
8.01E-05,0.00039284,1.95E-21
9.30E-05,0.00039228,-5.83E-24
0.00010268,0.00038824,-1.54E-23
0.00010902,0.00038161,0
0.00011208,0.00037303,-1.61E-21
0.00011203,0.00036296,1.52E-21
0.00010912,0.00035171,0
0.00010369,0.00033951,0
9.61E-05,0.00032654,1.90E-21
8.69E-05,0.00031294,-1.84E-21
7.65E-05,0.00029886,-1.93E-21
6.53E-05,0.00028443,1.93E-21
5.38E-05,0.00026979,0
4.22E-05,0.00025511,0
3.10E-05,0.0002405,-1.28E-22
2.03E-05,0.0002261,2.11E-21
1.03E-05,0.00021204,-2.14E-21
1.28E-06,0.00019845,-1.30E-22
-6.84E-06,0.00018538,-6.58E-23
-1.40E-05,0.00017292,2.02E-21
-2.02E-05,0.00016112,-2.01E-21
-2.55E-05,0.00015001,2.03E-21
-2.99E-05,0.00013958,-1.90E-22
-3.35E-05,0.00012984,-2.11E-21
-3.64E-05,0.00012078,2.06E-21
-3.86E-05,0.00011234,-4.36E-21
-4.03E-05,0.0001045,2.44E-21
-4.15E-05,9.72E-05,0
-4.23E-05,9.05E-05,0
-4.27E-05,8.43E-05,2.58E-21
-4.29E-05,7.85E-05,-4.77E-21
-4.28E-05,7.31E-05,2.34E-21
-4.25E-05,6.81E-05,-1.51E-22
-4.21E-05,6.35E-05,3.05E-22
-4.16E-05,5.93E-05,-1.43E-21
-4.10E-05,5.53E-05,8.02E-22
-4.04E-05,5.17E-05,1.51E-21
-3.98E-05,4.83E-05,1.87E-22
-3.92E-05,4.53E-05,-1.60E-21
-3.87E-05,4.24E-05,1.85E-21
-3.81E-05,3.98E-05,-3.08E-21
-3.76E-05,3.73E-05,-1.05E-23
-3.72E-05,3.51E-05,-9.86E-24
-3.68E-05,3.29E-05,1.97E-21
-3.64E-05,3.09E-05,-9.24E-22
-3.61E-05,2.89E-05,-4.08E-24
-3.58E-05,2.70E-05,2.05E-21
-3.55E-05,2.52E-05,-1.08E-21
-3.53E-05,2.34E-05,8.61E-22
-3.51E-05,2.17E-05,-1.14E-21
-3.49E-05,2.01E-05,-1.13E-21
-3.48E-05,1.86E-05,1.37E-21
-3.47E-05,1.72E-05,9.18E-23
-3.46E-05,1.59E-05,1.94E-22
-3.46E-05,1.47E-05,0
-3.45E-05,1.35E-05,0
-3.45E-05,1.24E-05,9.56E-22
-3.45E-05,1.14E-05,-2.05E-21
-3.46E-05,1.05E-05,1.24E-21
-3.46E-05,9.45E-06,6.66E-22
-3.47E-05,8.48E-06,7.96E-23
-3.48E-05,7.47E-06,-1.29E-21
-3.49E-05,6.46E-06,9.19E-23
-3.50E-05,5.38E-06,4.49E-22
-3.51E-05,4.32E-06,3.77E-22
-3.52E-05,3.32E-06,0
-3.53E-05,2.27E-06,2.21E-22
-3.54E-05,1.36E-06,-5.45E-22
-3.56E-05,5.58E-07,1.84E-22
-3.56E-05,1.72E-07,1.60E-22
-3.57E-05,2.38E-08,0
8.75E-05,0.00014056,-1.53E-20
0.00012879,0.00038738,1.65E-21
0.00016289,0.0005306,7.25E-21
0.00018492,0.00057466,-2.15E-21
0.00020066,0.00058381,-1.38E-22
0.00021311,0.000581,1.03E-23
0.00022221,0.00056762,-6.97E-21
0.00022781,0.00054588,6.47E-21
0.00023004,0.00051911,3.54E-24
0.00022913,0.00048993,-1.67E-23
0.00022534,0.0004601,1.10E-23
0.00021894,0.0004308,0
0.00021024,0.0004028,1.46E-20
0.00019959,0.00037657,-1.36E-20
0.0001873,0.00035231,1.57E-20
0.00017371,0.00033005,-1.47E-20
0.00015914,0.00030971,6.56E-23
0.00014392,0.00029111,-5.15E-24
0.00012834,0.00027406,-6.19E-23
0.00011268,0.00025832,-1.70E-20
9.72E-05,0.00024367,1.59E-20
8.22E-05,0.00022994,0
6.78E-05,0.00021696,-2.91E-24
5.43E-05,0.00020466,0
4.17E-05,0.0001929,1.31E-22
3.01E-05,0.00018165,-1.32E-22
1.96E-05,0.00017091,8.61E-21
1.02E-05,0.00016064,-1.65E-20
1.86E-06,0.00015084,8.16E-21
-5.39E-06,0.00014153,0
-1.17E-05,0.00013271,2.67E-22
-1.70E-05,0.00012437,8.94E-21
-2.14E-05,0.0001165,-8.46E-21
-2.51E-05,0.00010909,2.68E-22
-2.81E-05,0.00010212,-2.74E-22
-3.05E-05,9.56E-05,0
-3.23E-05,8.95E-05,8.73E-21
-3.37E-05,8.37E-05,-9.92E-23
-3.46E-05,7.83E-05,-9.08E-21
-3.53E-05,7.33E-05,9.42E-21
-3.56E-05,6.85E-05,-1.91E-20
-3.58E-05,6.41E-05,9.97E-21
-3.57E-05,6.00E-05,-1.04E-20
-3.56E-05,5.61E-05,1.08E-20
-3.53E-05,5.26E-05,3.29E-22
-3.50E-05,4.92E-05,5.15E-21
-3.47E-05,4.61E-05,5.18E-23
-3.44E-05,4.33E-05,-6.21E-21
-3.40E-05,4.06E-05,6.12E-21
-3.37E-05,3.81E-05,-6.73E-21
-3.34E-05,3.58E-05,-4.14E-22
-3.31E-05,3.36E-05,-2.19E-22
-3.29E-05,3.15E-05,6.87E-21
-3.26E-05,2.95E-05,-7.67E-21
-3.24E-05,2.76E-05,0
-3.22E-05,2.57E-05,0
-3.21E-05,2.39E-05,5.67E-22
-3.19E-05,2.22E-05,4.96E-21
-3.18E-05,2.06E-05,-1.01E-20
-3.17E-05,1.90E-05,5.76E-21
-3.17E-05,1.75E-05,0
-3.16E-05,1.61E-05,-1.94E-22
-3.16E-05,1.48E-05,2.05E-22
-3.16E-05,1.36E-05,0
-3.16E-05,1.25E-05,0
-3.16E-05,1.14E-05,-3.93E-21
-3.17E-05,1.03E-05,4.22E-21
-3.17E-05,9.18E-06,0
-3.18E-05,8.08E-06,2.44E-21
-3.19E-05,6.93E-06,-5.69E-21
-3.20E-05,5.79E-06,2.93E-21
-3.21E-05,4.67E-06,9.83E-23
-3.22E-05,3.45E-06,0
-3.23E-05,2.35E-06,0
-3.24E-05,1.41E-06,1.86E-22
-3.25E-05,4.32E-07,-1.01E-21
-3.26E-05,-2.82E-07,1.09E-21
-3.27E-05,-3.50E-07,-3.16E-22
-3.27E-05,-2.03E-07,3.42E-22
0.00054342,7.42E-05,0
0.00059174,0.00027836,1.62E-20
0.00063325,0.00047331,-3.40E-20
0.00063329,0.00054238,1.77E-20
0.00061126,0.00054817,-1.99E-23
0.00058335,0.00053835,-2.86E-20
0.00055205,0.00051805,5.75E-20
0.00051815,0.00048889,4.34E-21
0.00048308,0.00045524,-3.08E-20
0.00044793,0.00042076,-3.60E-20
0.00041333,0.00038766,3.35E-20
0.00037965,0.00035719,3.76E-20
0.00034709,0.00032994,-3.50E-20
0.0003158,0.00030601,0
0.0002859,0.00028521,3.82E-20
0.00025748,0.00026717,-3.57E-20
0.0002306,0.00025149,-6.80E-23
0.00020531,0.00023775,3.76E-20
0.00018158,0.00022558,-3.52E-20
0.00015939,0.00021465,1.45E-22
0.00013869,0.00020466,-6.36E-24
0.00011942,0.00019538,0
0.00010156,0.00018662,1.37E-22
8.51E-05,0.00017821,1.39E-22
6.99E-05,0.00017005,0
5.61E-05,0.00016206,-1.36E-24
4.36E-05,0.00015425,0
3.24E-05,0.00014659,-5.42E-22
2.24E-05,0.0001391,-1.76E-20
1.36E-05,0.00013181,1.67E-20
5.85E-06,0.00012474,-1.76E-20
-8.30E-07,0.0001179,-8.05E-22
-6.56E-06,0.00011132,1.69E-20
-1.14E-05,0.00010501,-1.77E-20
-1.55E-05,9.90E-05,1.74E-20
-1.89E-05,9.32E-05,-1.74E-20
-2.17E-05,8.77E-05,3.56E-20
-2.40E-05,8.25E-05,3.75E-22
-2.57E-05,7.76E-05,-3.69E-20
-2.71E-05,7.29E-05,1.80E-20
-2.81E-05,6.85E-05,-1.87E-20
-2.89E-05,6.43E-05,1.88E-20
-2.94E-05,6.03E-05,-1.98E-20
-2.98E-05,5.66E-05,2.01E-20
-3.00E-05,5.31E-05,9.65E-21
-3.01E-05,4.98E-05,-1.05E-20
-3.01E-05,4.67E-05,3.51E-22
-3.01E-05,4.39E-05,1.18E-20
-3.01E-05,4.12E-05,-1.21E-20
-3.01E-05,3.87E-05,-1.23E-20
-3.00E-05,3.63E-05,1.36E-20
-3.00E-05,3.41E-05,1.43E-20
-3.00E-05,3.20E-05,-1.41E-20
-3.00E-05,2.99E-05,0
-2.99E-05,2.80E-05,0
-2.99E-05,2.61E-05,-2.65E-22
-2.99E-05,2.43E-05,-2.82E-22
-2.99E-05,2.25E-05,9.24E-21
-2.99E-05,2.08E-05,-1.04E-20
-2.99E-05,1.92E-05,-1.08E-20
-2.99E-05,1.77E-05,2.29E-20
-3.00E-05,1.62E-05,2.09E-22
-3.00E-05,1.49E-05,-1.35E-20
-3.00E-05,1.36E-05,6.98E-21
-3.00E-05,1.24E-05,7.24E-24
-3.01E-05,1.13E-05,-7.89E-21
